timestamp,host_id,n_vms,cpu_used,ram_used,cpu_capacity,ram_capacity,power_consumed
2025-06-01 00:00:00,0,6,14.68,26.95,64,256,251.48
2025-06-01 00:00:00,1,3,12.35,17.51,64,256,228.7
2025-06-01 00:00:00,2,8,18.56,39.09,64,256,285.89
2025-06-01 00:00:00,3,2,4.14,6.02,64,256,179.78
2025-06-01 00:00:00,4,4,10.83,18.57,64,256,220.34
2025-06-01 00:00:00,5,1,2.51,2.53,64,256,169.89
2025-06-01 00:00:00,6,7,19.76,24.98,64,256,286.44
2025-06-01 00:00:00,7,6,12.88,28.71,64,256,238.4
2025-06-01 00:00:00,8,7,16.32,23.69,64,256,275.89
2025-06-01 00:00:00,9,10,19.58,46.91,64,256,285.72
2025-06-01 00:00:00,10,4,7.64,23.31,64,256,198.0
2025-06-01 00:00:00,11,6,14.13,24.74,64,256,257.31
2025-06-01 00:00:00,12,3,8.28,6.09,64,256,213.67
2025-06-01 00:00:00,13,5,11.83,14.1,64,256,227.99
2025-06-01 00:00:00,14,5,10.21,17.2,64,256,224.38
2025-06-01 00:00:00,15,3,3.87,11.48,64,256,176.38
2025-06-01 00:00:00,16,3,8.19,15.32,64,256,209.62
2025-06-01 00:00:00,17,2,6.27,11.66,64,256,194.98
2025-06-01 00:00:00,18,1,2.61,3.74,64,256,162.65
2025-06-01 00:00:00,19,2,4.3,6.59,64,256,173.78
2025-06-01 01:00:00,0,5,15.19,25.74,64,256,259.1
2025-06-01 01:00:00,1,3,7.53,8.86,64,256,198.09
2025-06-01 01:00:00,2,10,26.87,42.81,64,256,337.23
2025-06-01 01:00:00,3,2,5.57,7.45,64,256,188.37
2025-06-01 01:00:00,4,5,12.74,19.01,64,256,233.05
2025-06-01 01:00:00,5,2,5.77,8.41,64,256,192.36
2025-06-01 01:00:00,6,5,17.17,18.25,64,256,267.59
2025-06-01 01:00:00,7,8,20.31,31.2,64,256,285.82
2025-06-01 01:00:00,8,6,17.92,29.1,64,256,270.16
2025-06-01 01:00:00,9,9,25.03,30.47,64,256,329.55
2025-06-01 01:00:00,10,5,9.19,23.11,64,256,217.06
2025-06-01 01:00:00,11,5,12.75,19.13,64,256,237.37
2025-06-01 01:00:00,12,4,8.43,16.84,64,256,206.83
2025-06-01 01:00:00,13,4,13.99,18.7,64,256,246.45
2025-06-01 01:00:00,14,6,16.31,21.54,64,256,260.38
2025-06-01 01:00:00,15,3,8.18,11.0,64,256,204.6
2025-06-01 01:00:00,16,3,6.79,15.77,64,256,191.68
2025-06-01 01:00:00,17,3,6.9,13.2,64,256,206.7
2025-06-01 01:00:00,18,2,4.58,4.96,64,256,177.37
2025-06-01 01:00:00,19,2,3.34,10.76,64,256,168.38
2025-06-01 02:00:00,0,6,11.5,25.41,64,256,231.07
2025-06-01 02:00:00,1,1,0.5,6.61,64,256,146.85
2025-06-01 02:00:00,2,9,20.79,35.14,64,256,291.7
2025-06-01 02:00:00,3,2,6.71,4.54,64,256,196.52
2025-06-01 02:00:00,4,5,14.12,23.86,64,256,251.37
2025-06-01 02:00:00,5,1,1.72,4.95,64,256,164.34
2025-06-01 02:00:00,6,7,18.29,24.8,64,256,274.23
2025-06-01 02:00:00,7,9,21.71,41.67,64,256,303.23
2025-06-01 02:00:00,8,3,7.74,14.88,64,256,202.85
2025-06-01 02:00:00,9,8,19.92,35.4,64,256,293.78
2025-06-01 02:00:00,10,5,16.82,21.03,64,256,255.01
2025-06-01 02:00:00,11,6,16.34,25.19,64,256,263.01
2025-06-01 02:00:00,12,4,10.87,17.97,64,256,224.63
2025-06-01 02:00:00,13,5,9.7,24.75,64,256,215.24
2025-06-01 02:00:00,14,6,14.03,23.61,64,256,248.83
2025-06-01 02:00:00,15,2,4.2,4.36,64,256,181.27
2025-06-01 02:00:00,16,3,10.6,8.84,64,256,219.86
2025-06-01 02:00:00,17,2,7.69,4.73,64,256,208.18
2025-06-01 02:00:00,18,1,5.16,3.82,64,256,191.21
2025-06-01 02:00:00,19,2,5.05,11.21,64,256,175.7
